taxa,crops
Aranaea,2001
Birds,269
Coleoptera,2698
Coleoptera Cantharidae Rhagonycha fulva,1359
Coleoptera Coccinellidae Coccinella septempunctata,7270
Dermaptera,439
Diptera,456
Diptera Bombyliidae,479
Diptera Sarcophagidae,811
Diptera Syrphidae,273
Diptera Syrphidae Chrysotoxum,317
Diptera Syrphidae Episyrphus balteatus,2732
Diptera Syrphidae Eristalis,730
Diptera Syrphidae Eupeodes,4473
Diptera Syrphidae Eurimyia,316
Diptera Syrphidae Helophilus,493
Diptera Syrphidae Meliscaeva cinctella,233
Diptera Syrphidae Myathropa florea,322
Diptera Syrphidae Platycheirus,406
Diptera Syrphidae Scaeva,278
Diptera Syrphidae Scaeva pyrastri,350
Diptera Syrphidae Sphaerophoria scripta-complex,832
Diptera Syrphidae Syritta pipiens,491
Diptera Syrphidae Syrphus,321
Diptera Syrphidae Xanthogramma,189
Hemiptera,1628
Herpetofauna,95
Hymenoptera_bees Apidae Apis mellifera,10499
Hymenoptera_bees Apidae Bombus,435
Hymenoptera_bees Apidae Bombus hypnorum,208
Hymenoptera_bees Apidae Bombus lapidarius,2442
Hymenoptera_bees Apidae Bombus pascuorum,264
Hymenoptera_bees Apidae Bombus sylvarum,359
Hymenoptera_bees Apidae Bombus terrestris,4021
Hymenoptera_bees Apidae Nomada,419
Hymenoptera_bees Apoidea,663
Hymenoptera_bees Apoidea Apoidea red_abdomen,280
Hymenoptera_bees Apoidea Apoidea reddish,350
Hymenoptera_bees Apoidea Apoidea small,1976
Hymenoptera_bees Apoidea Apoidea striped,1663
Hymenoptera_bees Megachilidae,2490
Hymenoptera_bees Megachilidae Anthidium oblongatum,382
Hymenoptera_nobees Chrysididae,792
Hymenoptera_nobees Crabronidae,891
Hymenoptera_nobees Formidicidae,968
Hymenoptera_nobees Ichneumonidae,666
Hymenoptera_nobees Pompilidae,636
Hymenoptera_nobees Vespidae,607
Hymenoptera_nobees Vespidae Odynerus spinipes,2531
Hymenoptera_nobees Vespidae Vespula vulgaris,1568
Isopoda,880
Larvae,579
Lepidoptera,156
Lepidoptera Hesperidae,519
Lepidoptera Lycaenidae,300
Lepidoptera Lycaenidae Lycaena phlaeas,277
Lepidoptera Moths,218
Lepidoptera Nymphalidae,31
Lepidoptera Nymphalidae Aglais io,250
Lepidoptera Nymphalidae Aglais urticae,1921
Lepidoptera Nymphalidae Aphantopus hyperantus,142
Lepidoptera Nymphalidae Coenonympha pamphilus,455
Lepidoptera Nymphalidae Maniola jurtina,645
Lepidoptera Nymphalidae Melanargia galathea,95
Lepidoptera Pieridae,263
Lepidoptera_fw,271
Lepidoptera_fw Nymphalidae_fw Aglais urticae_fw,352
Lepidoptera_fw Nymphalidae_fw Maniola jurtina_fw,3383
Lepidoptera_fw Nymphalidae_fw Satyrinae_fw,1288
Milipedes,177
Odonata,507
Orthoptera,228
Orthoptera Acrididae,1540
Orthoptera Acrididae Chorthippus,793
Orthoptera Acrididae Omocestus viridulus,155
Orthoptera Tettigoniidae Decticus verrucivorus,192
Orthoptera Tettigoniidae Pholidoptera griseoaptera,337
Slugs,1192
Snails,1687
Vegetation,5720
