Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenH,0.9125,0.5999,0.7239,0.7463,0.4666
testHeather,0.9387,0.8095,0.8693,0.9040,0.6861
testMBO,0.8293,0.7247,0.7735,0.8454,0.7062
testOrchard,0.8390,0.8527,0.8458,0.9075,0.7383
testPollW,0.8970,0.7093,0.7922,0.8241,0.6344
testRTNI,0.9295,0.8307,0.8774,0.9059,0.7350
Average,0.8910,0.7545,0.8137,0.8555,0.6611
STD,0.0423,0.0869,0.0553,0.0586,0.0937
