Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenHm,0.8824,0.7909,0.8342,0.8962,0.5584
testHeatherm,0.9241,0.8753,0.8990,0.9577,0.7872
testMBOm,0.8916,0.8932,0.8924,0.9549,0.8440
testOrchardm,0.8671,0.8999,0.8832,0.9456,0.7980
testPollWm,0.8380,0.9103,0.8726,0.9178,0.7721
testRTNIm,0.8927,0.9553,0.9229,0.9241,0.7548
Average,0.8826,0.8875,0.8841,0.9327,0.7524
STD,0.0263,0.0496,0.0272,0.0220,0.0910
