Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenHm,0.8920,0.7839,0.8345,0.8895,0.5332
testHeatherm,0.9256,0.8837,0.9042,0.9473,0.7444
testMBOm,0.8906,0.8843,0.8875,0.9459,0.8002
testOrchardm,0.8719,0.9056,0.8884,0.9512,0.7673
testPollWm,0.8837,0.9253,0.9040,0.9537,0.7857
testRTNIm,0.9560,0.9429,0.9494,0.9745,0.7891
testGA2m,0.8523,0.6892,0.7621,0.7627,0.5191
Average,0.8960,0.8593,0.8757,0.9178,0.7056
STD,0.0320,0.0840,0.0560,0.0678,0.1147
