Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenH,0.9286,0.5217,0.6681,0.7125,0.4520
testHeather,0.9062,0.7859,0.8418,0.8651,0.6315
testMBO,0.7600,0.7309,0.7452,0.7873,0.6479
testOrchard,0.8391,0.8211,0.8300,0.8973,0.7243
testPollW,0.8494,0.6318,0.7246,0.7571,0.5824
testRTNI,0.9250,0.8094,0.8633,0.8989,0.6976
Average,0.8680,0.7168,0.7788,0.8197,0.6226
STD,0.0595,0.1078,0.0708,0.0717,0.0889
