Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenHm,0.8990,0.7771,0.8336,0.8912,0.5361
testHeatherm,0.9166,0.9059,0.9112,0.9578,0.7560
testMBOm,0.8943,0.8928,0.8935,0.9576,0.8283
testOrchardm,0.8872,0.8977,0.8924,0.9501,0.7800
testPollWm,0.8932,0.8933,0.8933,0.9498,0.7776
testRTNIm,0.9608,0.9385,0.9495,0.9770,0.7950
testACSHQm,0.9141,0.9194,0.9168,0.9603,0.7715
testGA2m,0.8402,0.6667,0.7435,0.7447,0.5273
Average,0.9007,0.8614,0.8792,0.9236,0.7215
STD,0.0316,0.0863,0.0597,0.0716,0.1113
