Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenH,0.9052,0.5486,0.6831,0.7192,0.4546
testHeather,0.9300,0.8005,0.8604,0.8882,0.6744
testMBO,0.8119,0.6989,0.7512,0.8100,0.6701
testOrchard,0.8437,0.8585,0.8510,0.9029,0.7338
testPollW,0.8530,0.6654,0.7476,0.7935,0.6211
testRTNI,0.9390,0.8072,0.8681,0.8987,0.7122
testACSHQ,0.8757,0.8908,0.8832,0.9264,0.7262
Average,0.8798,0.7528,0.8064,0.8484,0.6561
STD,0.0436,0.1119,0.0720,0.0700,0.0898
