Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenH,0.9361,0.6067,0.7362,0.7474,0.4443
testHeather,0.9408,0.8224,0.8776,0.8948,0.6704
testMBO,0.7908,0.7546,0.7723,0.8251,0.6703
testOrchard,0.8579,0.8388,0.8483,0.9051,0.7201
testPollW,0.8790,0.6973,0.7777,0.7880,0.6021
testRTNI,0.9550,0.8213,0.8831,0.8888,0.6925
testACSHQ,0.8840,0.8906,0.8873,0.9373,0.6872
testGA1,0.9706,0.9772,0.9739,0.9900,0.6596
testGA2,0.9700,0.9448,0.9572,0.9785,0.7570
testGA3,0.9340,0.9443,0.9392,0.9418,0.7207
testTDR,0.7610,0.6294,0.6889,0.6679,0.4584
Average,0.8981,0.8116,0.8492,0.8695,0.6439
STD,0.0679,0.1212,0.0895,0.0966,0.0983
