level,label,TP,TP_FP,TP_FN,precision,recall,f1score
L3 Species,Aranaea,98,99,100,0.98989898989899,0.98,0.9849246231155778
L3 Species,Birds,12,14,13,0.8571428571428571,0.9230769230769231,0.888888888888889
L3 Species,Bombus,18,23,22,0.782608695652174,0.8181818181818182,0.8
L3 Species,Bombus hypnorum,10,14,10,0.7142857142857143,1.0,0.8333333333333333
L3 Species,Bombus lapidarius,116,120,122,0.9666666666666667,0.9508196721311475,0.9586776859504132
L3 Species,Bombus pascuorum,13,14,14,0.9285714285714286,0.9285714285714286,0.9285714285714286
L3 Species,Bombus sylvarum,17,18,18,0.9444444444444444,0.9444444444444444,0.9444444444444444
L3 Species,Bombus terrestris,198,202,201,0.9801980198019802,0.9850746268656716,0.9826302729528535
L3 Species,Bombyliidae,24,25,24,0.96,1.0,0.9795918367346939
L3 Species,Chorthippus,36,47,40,0.7659574468085106,0.9,0.8275862068965516
L3 Species,Chrysididae,38,40,39,0.95,0.9743589743589743,0.9620253164556962
L3 Species,Chrysotoxum,14,16,16,0.875,0.875,0.875
L3 Species,Coccinella septempunctata,361,362,363,0.9972375690607734,0.9944903581267218,0.9958620689655173
L3 Species,Coenonympha pamphilus,22,25,22,0.88,1.0,0.9361702127659575
L3 Species,Coleoptera,127,133,135,0.9548872180451128,0.9407407407407408,0.9477611940298507
L3 Species,Crabronidae,41,41,45,1.0,0.9111111111111111,0.9534883720930233
L3 Species,Decticus verrucivorus,9,9,10,1.0,0.9,0.9473684210526316
L3 Species,Dermaptera,21,23,22,0.9130434782608695,0.9545454545454546,0.9333333333333332
L3 Species,Diptera,21,22,23,0.9545454545454546,0.9130434782608695,0.9333333333333332
L3 Species,Episyrphus balteatus,131,135,137,0.9703703703703703,0.9562043795620438,0.9632352941176471
L3 Species,Eristalis,32,36,36,0.8888888888888888,0.8888888888888888,0.8888888888888888
L3 Species,Eupeodes,217,220,224,0.9863636363636363,0.96875,0.9774774774774775
L3 Species,Eurimyia,14,14,16,1.0,0.875,0.9333333333333333
L3 Species,Formidicidae,47,50,48,0.94,0.9791666666666666,0.9591836734693877
L3 Species,Helophilus,24,25,24,0.96,1.0,0.9795918367346939
L3 Species,Hemiptera,79,82,81,0.9634146341463414,0.9753086419753086,0.9693251533742332
L3 Species,Herpetofauna,5,7,5,0.7142857142857143,1.0,0.8333333333333333
L3 Species,Hesperidae,25,27,26,0.9259259259259259,0.9615384615384616,0.9433962264150944
L3 Species,Ichneumonidae,30,32,33,0.9375,0.9090909090909091,0.923076923076923
L3 Species,Isopoda,44,44,44,1.0,1.0,1.0
L3 Species,Larvae,28,28,29,1.0,0.9655172413793104,0.9824561403508771
L3 Species,Lepidoptera,5,5,8,1.0,0.625,0.7692307692307693
L3 Species,Lepidoptera_fw,7,14,13,0.5,0.5384615384615384,0.5185185185185186
L3 Species,Lycaena phlaeas,12,13,13,0.9230769230769231,0.9230769230769231,0.9230769230769231
L3 Species,Lycaenidae,14,14,15,1.0,0.9333333333333333,0.9655172413793104
L3 Species,Maniola jurtina,31,34,33,0.9117647058823529,0.9393939393939394,0.9253731343283583
L3 Species,Maniola jurtina_fw,152,166,169,0.9156626506024096,0.8994082840236687,0.9074626865671641
L3 Species,Megachilidae,116,116,124,1.0,0.9354838709677419,0.9666666666666666
L3 Species,Melanargia galathea,5,6,5,0.8333333333333334,1.0,0.9090909090909091
L3 Species,Meliscaeva cinctella,11,12,12,0.9166666666666666,0.9166666666666666,0.9166666666666666
L3 Species,Milipedes,9,9,9,1.0,1.0,1.0
L3 Species,Moths,10,10,11,1.0,0.9090909090909091,0.9523809523809523
L3 Species,Myathropa florea,16,17,16,0.9411764705882353,1.0,0.9696969696969697
L3 Species,Nomada,20,24,21,0.8333333333333334,0.9523809523809523,0.888888888888889
L3 Species,Nymphalidae,2,2,2,1.0,1.0,1.0
L3 Species,Odonata,26,26,26,1.0,1.0,1.0
L3 Species,Odynerus spinipes,125,128,127,0.9765625,0.984251968503937,0.9803921568627452
L3 Species,Omocestus viridulus,7,10,7,0.7,1.0,0.8235294117647058
L3 Species,Orthoptera,9,9,11,1.0,0.8181818181818182,0.9
L3 Species,Pholidoptera griseoaptera,15,15,17,1.0,0.8823529411764706,0.9375
L3 Species,Pieridae,12,12,13,1.0,0.9230769230769231,0.9600000000000001
L3 Species,Platycheirus,18,22,20,0.8181818181818182,0.9,0.8571428571428572
L3 Species,Pompilidae,29,32,32,0.90625,0.90625,0.90625
L3 Species,Rhagonycha fulva,65,67,68,0.9701492537313433,0.9558823529411765,0.962962962962963
L3 Species,Sarcophagidae,40,42,41,0.9523809523809523,0.975609756097561,0.963855421686747
L3 Species,Satyrinae_fw,53,66,64,0.803030303030303,0.828125,0.8153846153846153
L3 Species,Scaeva,13,15,14,0.8666666666666667,0.9285714285714286,0.896551724137931
L3 Species,Scaeva pyrastri,14,17,18,0.8235294117647058,0.7777777777777778,0.7999999999999999
L3 Species,Slugs,54,55,59,0.9818181818181818,0.9152542372881356,0.9473684210526316
L3 Species,Snails,85,91,85,0.9340659340659341,1.0,0.9659090909090909
L3 Species,Sphaerophoria scripta-complex,33,33,41,1.0,0.8048780487804879,0.8918918918918919
L3 Species,Syritta pipiens,24,29,25,0.8275862068965517,0.96,0.888888888888889
L3 Species,Syrphidae,11,21,13,0.5238095238095238,0.8461538461538461,0.6470588235294118
L3 Species,Syrphus,15,17,16,0.8823529411764706,0.9375,0.9090909090909091
L3 Species,Vegetation,276,280,286,0.9857142857142858,0.965034965034965,0.9752650176678446
L3 Species,Vespidae,30,32,31,0.9375,0.967741935483871,0.9523809523809523
L3 Species,Vespula vulgaris,75,78,78,0.9615384615384616,0.9615384615384616,0.9615384615384616
L3 Species,Xanthogramma,9,9,9,1.0,1.0,1.0
L3 Species,Macro,53.4,56.2,56.2,0.9150224079512264,0.9267655375826293,0.9177333565914815
L3 Species,Micro,4272,4496,4496,0.9501779359430605,0.9501779359430605,0.9501779359430605
