Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenH,0.9192,0.6035,0.7286,0.7394,0.4551
testHeather,0.9241,0.8214,0.8697,0.8791,0.6477
testMBO,0.8011,0.6953,0.7445,0.8005,0.6440
testOrchard,0.8526,0.8263,0.8392,0.8988,0.7094
testPollW,0.8795,0.6615,0.7551,0.7908,0.5942
testRTNI,0.9348,0.8061,0.8657,0.8735,0.6778
testGA1,0.9704,0.9697,0.9700,0.9878,0.6416
testGA2,0.9653,0.9470,0.9560,0.9739,0.7547
Average,0.9059,0.7913,0.8411,0.8680,0.6406
STD,0.0543,0.1223,0.0871,0.0819,0.0835
