Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenHm,0.8924,0.7435,0.8111,0.8778,0.5344
testHeatherm,0.8790,0.8890,0.8840,0.9415,0.7659
testMBOm,0.8929,0.8838,0.8884,0.9474,0.8260
testOrchardm,0.8733,0.8963,0.8846,0.9448,0.7848
testPollWm,0.8662,0.8113,0.8378,0.9246,0.7443
testRTNIm,0.9339,0.9314,0.9326,0.9715,0.7991
Average,0.8896,0.8592,0.8731,0.9346,0.7424
STD,0.0220,0.0629,0.0390,0.0289,0.0964
