Dataset,Precision,Recall,F1-score,mAP50,mAP50-95
testGreenHm,0.9019,0.7467,0.8170,0.8857,0.5646
testHeatherm,0.8956,0.9006,0.8981,0.9526,0.7882
testMBOm,0.9076,0.8786,0.8929,0.9550,0.8456
testOrchardm,0.8899,0.8908,0.8904,0.9486,0.7911
testPollWm,0.8993,0.7947,0.8437,0.9016,0.7262
testRTNIm,0.9605,0.9261,0.9430,0.9792,0.8217
testACSHQm,0.9241,0.8681,0.8952,0.9468,0.7901
Average,0.9113,0.8580,0.8829,0.9385,0.7611
STD,0.0225,0.0591,0.0378,0.0303,0.0871
